Hospital (Location),Revenue in billion U.S. dollars
Methodist Hospital (San Antonio),5.69
Baptist Medical Center (San Antonio),5.3
"CJW Medical Center-Chippenham Campus (Richmond, Va.)",3.8
Doctors Medical Center of Modesto (Calif.),3.49
Oklahoma University Medical Center (Oklahoma City),3.46
Sunrise Hospital & Medical Center (Las Vegas),3.33
Medical City Hospital (Dallas),3.23
"Brookwood Medical Center (Birmingham, Ala.)",3.21
Hahnemann University Hospital (Philadelphia),3.11
"Las Palmas Medical Center (El Paso, Texas)",2.96
