Characteristic,Share of respondents
"Apr 11, 2021",84%
"Mar 28, 2021",83%
"Mar 14, 2021",85%
"Feb 28, 2021",84%
"Feb 14, 2021",86%
"Jan 31, 2021",88%
"Jan 17, 2021",88%
"Jan 3, 2021",84%
"Dec 20, 2020",85%
"Dec 6, 2020",87%
"Nov 22, 2020",86%
"Nov 8, 2020",88%
"Oct 25, 2020",89%
"Oct 11, 2020",89%
"Sep 27, 2020",85%
"Sep 20, 2020",79%
"Sep 13, 2020",86%
"Aug 30, 2020",87%
"Aug 20, 2020",80%
"Aug 16, 2020",87%
"Aug 7, 2020",82%
"Aug 2, 2020",84%
"Jul 22, 2020",81%
"Jul 19, 2020",83%
"Jul 9, 2020",80%
"Jul 5, 2020",86%
"Jun 25, 2020",80%
"Jun 21, 2020",86%
"Jun 9, 2020",78%
"Jun 7, 2020",85%
"May 29, 2020",81%
"May 24, 2020",88%
"May 13, 2020",79%
"May 3, 2020",85%
"Apr 26, 2020",87%
"Apr 19, 2020",85%
"Apr 12, 2020",86%
"Apr 5, 2020",89%
"Mar 29, 2020",90%
"Mar 22, 2020",90%
"Mar 15, 2020",83%
"Mar 8, 2020",83%
"Mar 1, 2020",81%
"Feb 23, 2020",80%
