Characteristic,Brand value (in million U.S. dollars)
Toronto Maple Leafs,140.93
Montreal Canadiens,126.36
New York Rangers,120.38
Vancouver Canucks,89.64
Detroit Red Wings,76.05
Pittsburgh Penguins,71.44
Chicago Blackhawks,66.2
Boston Bruins,65.86
Ottawa Senators,58.77
New Jersey Devils,54.33
Philadelphia Flyers,52.49
Calgary Flames,52.15
Los Angeles Kings,46.84
Winnipeg Jets,40.48
Dallas Stars,38.37
Edmonton Oilers,36.94
Buffalo Sabres,35.92
Washington Capitals,35.67
St. Louis Blues,34.65
Nashville Predators,33.57
Tampa Bay Lightning,33.24
Phoenix Coyotes,32.81
San Jose Sharks,31.99
Colorado Avalanche,31.39
Carolina Hurricanes,30.73
Minnesota Wild,28.83
Anaheim Ducks,27.62
Florida Panthers,26.8
Columbus Blue Jackets,23.02
New York Islanders,16.93
