Characteristic,"Police officers per 100,000 population"
"Victoria, B.C.",214
"Montréal, Que.",212
"Halifax, N.S.",209
"Windsor, Ont.",205
"Thunder Bay, Ont.",205
"Vancouver, B.C.",196
"Edmonton, Alta.",188
"Winnipeg, Man.",186
"Brantford, Ont.",178
"Saskatoon, Sask.",173
"Regina, Sask.",170
"Red Deer, Alta. (Royal Canadian Mounted Police)",166
"Barrie, Ont.",163
"Toronto, Ont.",162
"Calgary, Alta.",162
"St. John's, N.L.",161
"Chatham-Kent, Ont.",156
"Greater Sudbury, Ont.",155
"Kingston, Ont.",154
"Niagara Region (St. Catharines), Ont.",152
"Delta, B.C.",145
"Longueuil, Que.",145
"Peel Region (Mississauga/Brampton), Ont.",144
"Guelph, Ont.",143
"Kelowna, B.C.",142
"London, Ont.",142
"Surrey, B.C.",140
"Gatineau, Que.",139
"Abbotsford, B.C.",139
"Laval, Que.",135
"York Region (Markham/Vaughan), Ont.",134
"Langley Township, B.C.",133
"Durham Region (Oshawa/Whitby/Ajax), Ont.",132
"Waterloo Region (Kitchener), Ont.",131
"Saguenay, Que.",126
"Saanich, B.C.",125
"Sherbrooke, Que.",125
"Québec, Que.",124
"Halton Region (Oakville/Burlington), Ont.",123
"Terrebonne, Que.",122
"Ottawa, Ont.",121
"Burnaby, B.C.",118
"Trois-Rivières, Que.",118
"Richmond, B.C.",117
"Codiac Region (Moncton), N.B.",116
"Coquitlam, B.C.",114
"Lévis, Que.",106
"Roussillon Region, Que.",104
"Richelieu Saint-Laurent, Que.",102
