Characteristic,Number of rebounds
Wilt Chamberlain,23924
Bill Russell,21620
Kareem Abdul-Jabbar,17440
Elvin Hayes,16279
Moses Malone,16212
Tim Duncan,15091
Karl Malone,14968
Robert Parish,14715
Kevin Garnett,14662
Nate Thurmond,14464
Dwight Howard*,14271
Walt Bellamy,14241
Wes Unseld,13769
Hakeem Olajuwon,13748
Shaquille O'Neal,13099
Buck Williams,13017
Jerry Lucas,12942
Bob Petit,12849
Charles Barkley,12546
Dikembe Mutombo,12359
Paul Silas,12357
Charles Oakley,12205
Dennis Rodman,11954
Kevin Willis,11901
Patrick Ewing,11607
Dirk Nowitzki,11489
Elgin Baylor,11463
Pau Gasol,11305
Dolph Schayes,11256
Bill Bridges,11054
