Characteristic,Market value in million euros
Lionel Messi (Argentina),120
Cristiano Ronaldo (Portugal),100
Edinson Cavani (Uruguay),60
Neymar (Brazil),60
Andrés Iniesta (Spain),55
Mario Götze (Germany),55
Luis Suárez (Uruguay),52
Cesc Fàbregas (Spain),50
Mesut Özil (Germany),50
Hulk (Brazil),48
Wayne Rooney (England),45
Kun Agüero (Argentina),45
Eden Hazard (Belgium),45
Thomas Müller (Germany),45
Sergio Busquets (Spain),45
Paul Pogba (France),45
Arturo Vidal (Chile),44
Franck Ribéry (France),42
Bastian Schweinsteiger (Germany),40
Robin van Persie (The Netherlands),40
Luka Modric (Croatia),40
Thiago Silva (Brazil),40
Toni Kroos (Germany),40
Marco Reus (Germany),40
