Characteristic,Number of average active sessions
iHeartRadio,397804
NPR Member Stations*,109470
Audacy,89857
Cumulus Streaming Network,61071
EMF Corporate,36909
Univision,31158
Beasley Broadcasting Corporate,27653
Hubbard Broadcasting,21424
AccuRadio,15718
Salem Communications,14371
New York Public Radio,13698
Urban One,11368
Bonneville International,10317
ESPN Radio Corporate,7457
Prisa Radio,7081
Midwest Communications,6875
MediaCo Holding Inc,6565
Classical KUSC/KDFC,6540
Entravision Communications Corporation,5847
Estrella Media,5387
