Characteristic,Sponsorship in million euros
Sassulo (Mapei),18
Juventus Football Club (Jeep),17
AC Milan (Fly Emirates),15
Internazionale (Pirelli),12.5
Napoli (Lette),6.5
SS Lazio (Seleco),4
AS Torino (Suzuki),3.2
Fiorentina (Folletto),2.5
Atalanta (Veratour),2
Chievo (Paluani),1.5
Verona (Metano Nord),1.3
Udinese (Dacia),1.1
Bologna (FAAC),0.7
Cagliari (Ichnusa),0.7
Genoa (Eviva),0.6
Spal (Vetroresina),0.5
Benevento (La Molisana)*,-
Crotone (Lewer)*,-
AS Roma**,-
Sampdoria**,-
