Characteristic,Amounts outstanding in million GBP
Jun '20,85883
May '20,83857
Apr '20,82675
Mar '20,83189
Feb '20,82943
Jan '20,82892
Dec '19,82708
Nov '19,82821
Oct '19,82886
Sep '19,82828
Aug '19,82791
Jul '19,82677
Jun '19,82598
May '19,82475
Apr '19,82589
Mar '19,82887
Feb '19,82678
Jan '19,82400
Dec '18,82161
Nov '18,81938
Oct '18,81746
Sep '18,81743
Aug '18,81629
Jul '18,81619
Jun '18,81550
May '18,81476
Apr '18,81528
Mar '18,81600
Feb '18,81701
Jan '18,81859
Dec '17,81958
Nov '17,82056
Oct '17,82092
Sep '17,82072
Aug '17,82047
Jul '17,82094
Jun '17,82122
May '17,82131
Apr '17,82032
Mar '17,81834
Feb '17,81544
Jan '17,81216
