Characteristic,Total payment volume in billion U.S. dollars
Q1 2021,285.0
Q4 2020,277.07
Q3 2020,246.69
Q2 2020,221.73
Q1 2020,190.57
Q4 2019,199.4
Q3 2019,178.67
Q2 2019,172.36
Q1 2019,161.49
Q4 2018,163.65
Q3 2018,143.0
Q2 2018,139.4
Q1 2018,132.36
Q4 2017,132.52
Q3 2017,115.22
Q2 2017,107.8
Q1 2017,100.64
Q4 2016,99.35
Q3 2016,87.4
Q2 2016,86.21
Q1 2016,81.06
Q4 2015,81.52
Q3 2015,69.74
Q2 2015,67.48
Q1 2015,63.02
Q4 2014,66.04
Q3 2014,58.18
Q2 2014,56.74
Q1 2014,53.68
