Characteristic,Income in NOK
"Couples with children, oldest child 18 years and older",1071500
Couples with children 7-17 years,956900
"Couples without children, oldest person 45-64 years",823600
Couples with children 0-6 years,822700
"Couples without children, oldest person under 45 years",660500
"Couples without children, oldest person 65 years and older",609200
Single mother/father with children 18 years and older,589500
Single mother/father with children 0-17 years,438400
Singles 45-64 years,351300
Singles under 45 years,318500
Singles 65 years and older,283700
