Characteristic,Revenue (in million U.S. dollars)
University of Texas,93.9
University of Alabama,71.9
University of Georgia,70.8
Penn State University,70.2
Louisiana State University,68.8
University of Florida,68.7
Auburn University,66.2
Notre Dame,64.2
Ohio State University,63.8
University of Michigan,63.2
University of Oklahoma,58.3
South Carolina,58.3
University of Tennessee,56.6
University of Nebraska,49.9
University of Arkansas,48.5
University of Iowa,45.9
Michigan State University,44.5
Texas A&M,41.9
