Characteristic,Height in centimeters (cm)
Abraham Lincoln,193
Lyndon B. Johnson,192
Donald Trump *,191
Thomas Jefferson,189
Chester A. Arthur,188
Bill Clinton,188
George Washington,188
Franklin D. Roosevelt,188
George H. W. Bush,188
Andrew Jackson,185
Ronald Raegan,185
John F Kennedy,185
Barack Obama,185
James Monroe,183
John Tyler,183
Gerald Ford,183
Warren G. Harding,183
James Buchanan,183
James A. Garfield,183
Joe Biden,182
George W. Bush,182
William Howard Taft,182
Herbert Hoover,182
Richard Nixon,182
Woodrow Wilson,180
Grover Cleveland,180
Presidential average,180
Dwight D. Eisenhower,179
Calvin Coolidge,178
Franklin Pierce,178
Andrew Johnson,178
Theodore Roosevelt,178
Jimmy Carter,177
US male average height,175
Harry S. Truman,175
Millard Fillmore,175
Rutherford B. Hayes,174
Zachary Taylor,173
William Henry Harrison,173
Ulysses S. Grant *,173
James K. Polk,173
John Quincy Adams,171
William McKinley,170
John Adams,170
Benjamin Harrison,168
Martin Van Buren,168
James Madison,163
