Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",69.32
Professional and business services,38.53
Government and government enterprises,38.51
"Educational services, health care, and social assistance",31.28
Manufacturing,30.07
Retail trade,25.06
Wholesale trade,17.7
Information,15.25
"Arts, entertainment, recreation, accommodation, and food services",11.2
Construction,14.15
Transportation and warehousing,9.21
"Mining, quarrying, and oil and gas extraction",5.69
Utilities,6.29
"Agriculture, forestry, fishing, and hunting",4.09
