Characteristic,Number of languages
Elias Lönnrot - Kalevala,55
Mika Waltari - Sinuhe Egyptiläinen (Sinuhe the Egyptian),40
Sofi Oksanen - Puhdistus (Purge),38
Aleksis Kivi -Seitsemän veljestä (Seven Brothers),34
Arto Paasilinna - Jäniksen vuosi (The Year of the Hare),29
Tove Jansson - Sommarboken (The Summer Book),27
Sofi Oksanen - Kun kyyhkyset katosivat (When the Doves Disappeared),26
Arto Paasilinna - Ulvova mylläri (The Howling Miller),26
Frans Emil Sillanpää - Nuorena nukkunut (Fallen Asleep While Young),25
Väinö Linna - Tuntematon sotilas (The Unknown Soldier),24
