Characteristic,Franchise value in million U.S. dollars
New York Rangers,1650
Toronto Maple Leafs,1500
Montreal Canadiens,1340
Chicago Blackhawks,1085
Boston Bruins,1000
Los Angeles Kings,825
Philadelphia Flyers,800
Detroit Red Wings,775
Washington Capitals,750
Vancouver Canucks,725
Pittsburgh Penguins,650
Dallas Stars,575
Vegas Golden Knights,570
Edmonton Oilers,550
New Jersey Devils,530
New York Islanders,520
San Jose Sharks,515
St. Louis Blues,510
Minnesota Wild,500
Calgary Flames,480
Tampa Bay Lightning,470
Colorado Avalanche,465
Anaheim Ducks,460
Carolina Hurricanes,440
Nashville Predators,435
Ottawa Senators,430
Winnipeg Jets,405
Buffalo Sabres,385
Columbus Blue Jackets,310
Florida Panthers,295
Arizona Coyotes,285
