Characteristic,Export value in billion U.S. dollars
Transportation equipment,101.74
Computer and electronic products,68.68
Chemicals,52.62
Machinery; except electrical,50.55
Petroleum & coal products,38.98
Electrical equipment; appliances & components,28.72
Food manufactures,24.64
Fabricated metal products; nesoi,23.1
Plastics & rubber products,20.55
Primary metal mfg,20.45
Oil & gas,18.67
Special classification provisions; nesoi,17.37
Agricultural products,15.74
Miscellaneous manufactured commodities,14.41
Paper,11.04
