Characteristic,Gross domestic product in billion U.S. dollars
2026*,12.79
2025*,11.83
2024*,10.94
2023*,10.1
2022*,9.36
2021*,8.63
2020*,7.5
2019*,7.22
2018*,7.12
2017*,6.39
2016,6.03
2015,4.18
2014,4.58
2013,4.32
2012,3.88
2011,3.87
2010,3.43
2009,3.38
2008,3.32
2007,2.66
2006,2.35
2005,2.28
2004,2.26
2003,2.12
2002,1.71
2001,1.48
2000,1.49
1999,1.76
1998,1.75
1997,1.85
1996,1.82
1995,1.66
1994,1.26
1993,1.62
1992,2.13
1991,2.03
1990,2.06
1989,1.71
1988,1.74
1987,1.56
1986,1.33
