Characteristic,Box office gross in million U.S. dollars
Captain America: Civil War,1153.3
Rogue One: A Star Wars Story,1056.1
Finding Dory,1028.6
Zootopia,1023.8
The Jungle Book (2016),966.6
The Secret Life of Pets,875.5
Batman v Superman: Dawn of Justice,873.3
Fantastic Beasts and Where To Find Them,814.0
Deadpool,783.1
Suicide Squad,745.6
Doctor Strange,677.7
Moana,642.9
Sing,632.4
The Mermaid (Mei ren yu),553.8
X-Men: Apocalypse,543.9
Kung Fu Panda 3,521.2
La La Land,445.2
Warcraft,433.7
Jason Bourne,415.5
Ice Age: Collision Course,408.6
