Characteristic,Expenditure in current billion U.S. dollars
2018*,1453.0
2017*,1404.0
2016,1352.98
2015,1296.37
2014,1241.63
2013,1192.89
2012,1153.87
2011,1136.88
2010,1124.35
2009,1100.9
2008,1089.68
2007,1054.9
2006,984.05
2005,925.25
2004,875.99
2003,830.29
2002,795.69
2001,752.78
2000,705.02
1999,649.32
1998,603.85
1997,570.47
1996,538.85
1995,508.52
1994,485.17
1993,460.76
1992,439.68
1991,417.94
1990,395.32
1989,365.83
1988,333.24
1987,301.79
1986,280.96
1985,259.34
1984,239.35
1983,220.99
1982,204.66
1981,190.83
1980,176.38
1979,160.07
1978,143.73
1977,132.51
1976,121.79
1975,114.0
1974,103.9
1973,91.08
1972,82.91
1971,76.51
1970,71.58
