Characteristic,Managed assets in billion U.S. dollars
Norway Government Pension Fund Global (Norway),1273.54
China Investment Corporation (China),1045.72
Abu Dhabi Investment Authority (UAE),579.62
Hong Kong Monetary AuthorityInvestment Portfolio (China - Hong Kong),576.03
Kuwait Investment Authority (Kuwait),533.65
GIC Private Limited (Singapore),453.2
Temasek Holdings (Singapore)*,417.35
Public Investment Fund,399.45
National Council for Social Security Fund (China),372.07
Investment Corporation of Dubai (UAE),301.53
