Characteristic,Number of users in millions
Q1 21,259
Q4 '20,258
Q3 '20,255
Q2 '20,256
Q1 '20,253
Q4 '19,248
Q3 '19,247
Q2 '19,244
Q1 '19,243
Q4 '18,242
Q3 '18,242
Q2 '18,241
Q1 '18,241
Q4 '17,239
Q3 '17,239
Q2 '17,236
Q1 '17,234
Q4 '16,231
Q3 '16,229
Q2 '16,226
Q1 '16,222
Q4 '15,219
Q3 '15,217
Q2 '15,213
Q1 '15,210
Q4 '14,208
Q3 '14,206
Q2 '14,204
Q1 '14,202
Q4 '13,201
Q3 '13,199
Q2 '13,198
Q1 '13,195
Q4 '12,193
Q3 '12,189
Q2 '12,186
Q1 '12,183
Q4 '11,179
Q3 '11,176
Q2 '11,169
Q1 '11,163
Q4 '10,154
Q3 '10,144
Q2 '10,137
Q1 '10,130
