Characteristic,Share of cases
0 - 4 years old,0.2%
5 - 9 years old,0.7%
10 - 14 years old,4%
15 - 19 years old,8.5%
20 - 24 years old,9.9%
25 - 29 years old,8.5%
30 - 34 years old,7.5%
35 - 39 years old,6.8%
40 - 44 years old,6.9%
45 - 59 years old,8.2%
50 - 54 years old,9.1%
55 - 59 years old,8%
60 - 64 years old,6%
65 - 69 years old,3.8%
70 - 74 years old,3.3%
75 - 79 years old,2.6%
80 - 84 years old,2.3%
85 - 89 years old,2%
90 - 94 years old,1.1%
95 years old and over,0.4%
