Characteristic,Share of GDP
Q1 2020,99.6%
Q4 2019,90%
Q3 2019,93.8%
Q2 2019,82%
Q1 2019,77%
Q4 2018,71.9%
Q3 2018,65%
Q2 2018,60.2%
Q1 2018,61%
Q4 2017,59.8%
Q3 2017,56.1%
Q2 2017,59.5%
Q1 2017,61.2%
Q4 2016,61.2%
Q3 2016,68.8%
Q2 2016,63.7%
Q1 2016,58%
Q4 2015,48.9%
Q3 2015,49.1%
Q2 2015,45%
Q1 2015,59.9%
Q4 2014,44.5%
Q3 2014,36.2%
Q2 2014,31.9%
Q1 2014,28.1%
Q4 2013,30.7%
Q3 2013,28.3%
Q2 2013,29.4%
Q1 2013,31.4%
Q4 2012,26.1%
Q3 2012,24.6%
Q2 2012,20.3%
Q1 2012,20%
