Characteristic,Number of employees
LKAB,4348
Max Hotell-och Restauranginvest AB,3161
StudentConsulting Invest AB,1845
Sveaskog AB,807
BDX Företagen AB,613
Lindbäcks Group AB,609
Smurfit Kappa Kraftliner Piteå AB,549
Luleå Kommunföretag AB,484
Concentus i Kalix AB,455
Polarbrödsgruppen AB,388
LL Intressenter AB,359
Stenvalls Trä AB,355
Leana Förvaltning AB,345
Gestamp HardTech AB,340
Last & Terräng Häggroths Traktor AB,338
IVAB Infjärdens Värme AB,303
Piteå Kommunföretag AB,266
Nåiden Bygg AB,256
Nåiden AB,255
Älvsbyhus Intressenter AB,249
