Characteristic,Audience share
Belgium vs. Brasil,44.5%
Croatia vs. Russia,44.3%
Uruguay vs. Portugal,42.9%
Germany vs. Mexico,39.4%
Colombia vs. United Kingdom,39.2%
Croatia vs. Denmark,38.7%
Belgium vs. Japan,36.8%
Brazil vs. Switzerland,36.3%
Argentina vs. Croatia,34%
Portugal vs. Spain,33.3%
Nigeria vs. Argentina,32.7%
Russia vs. Saudi Arabia,29.8%
Serbia vs. Brasil,28.9%
Tunisia vs. United Kingdom,27.8%
Peru vs. Denmark,25.6%
Argentina vs. Iceland,24.1%
France vs. Australia,24.1%
Costa Rica vs. Serbia,23.4%
Morocco vs. Iran,23%
Croatia vs. Nigeria,22%
Egypt vs. Uruguay,20.2%
