Characteristic,Sponsorship deals (in millions)
"MegaF on, Russia",260.0
"Rostelecom, Russia",260.0
"Aeroflot, Russia",180.0
"Rosneft, Russia",180.0
"Mercedes, China",150.0
"Barclays, UK",134.5
"Standard Chartered Bank, UK",133.36
"Aon, International",132.0
"Visa, International",130.0
"UniCredit, International",119.0
"Deutsche Telekom, Germany",112.0
"adidas, International",105.0
"Panasonic, International",105.0
"Volkswagen, Russia",100.0
"Staples, USA",100.0
"Omega, International",80.0
"Groupama, France",74.5
"Gilette, USA",72.0
"adidas, France",70.0
"Anta, China",70.0
