Characteristic,"General fertility rate (live births per 1,000 women aged 15-44)"
2019,56.9
2018,58.5
2017,60.3
2016,61.7
2015,61.7
2014,61.6
2013,61.6
2012,64.1
2011,63.4
2010,63.4
2009,62.0
2008,63.3
2007,60.7
2006,59.1
2005,57.4
2004,57.7
2003,56.0
2002,54.1
2001,54.3
2000,55.4
1999,57.3
1998,58.8
1997,59.6
1996,60.2
1995,60.1
1994,61.6
1993,62.4
1992,63.4
1991,63.6
1990,64.0
1989,62.3
1988,63.1
1987,62.3
1986,61.0
1985,61.4
1984,60.3
1983,60.2
1982,60.6
1981,62.1
1980,64.9
1979,64.1
1978,60.8
1977,58.9
1976,61.3
1975,64.0
1974,68.0
1973,72.3
1972,77.8
1971,84.3
