Characteristic,GDP per capita in U.S. dollars
2026*,570.48
2025*,554.76
2024*,541.44
2023*,531.59
2022*,533.43
2021*,541.87
2020*,526.51
2019*,527.03
2018*,533.97
2017,495.81
2016,525.95
2015,592.9
2014,713.53
2013,716.15
2012,566.37
2011,448.32
2010,401.84
2009,391.21
2008,409.44
2007,360.43
2006,323.26
2005,292.1
2004,264.75
2003,265.32
2002,251.7
2001,228.03
2000,205.25
1999,218.91
1998,223.94
1997,286.07
1996,318.65
1995,295.71
1994,308.75
1993,259.19
1992,228.23
1991,261.75
1990,219.46
1989,405.25
1988,451.56
1987,281.36
1986,330.04
