Characteristic,Properties key
City of London and Westminster,37025
Camden,17476
Kensington and Chelsea,16107
Hillingdon,9428
Tower Hamlets,6593
Southwark,5082
Newham,4685
Lambeth,4465
Hounslow,3540
Hammersmith and Fulham,3527
Islington,3364
Croydon,2418
Brent,2152
Ealing,1824
Hackney,1743
Richmond upon Thames,1381
Barnet,1370
Wandsworth,1362
Greenwich,1277
Redbridge,1255
Kingston upon Thames,902
Harrow,746
Enfield,674
Waltham Forest,498
Merton,488
Bromley,486
Bexley,425
Barking and Dagenham,422
Havering,418
Lewisham,409
Haringey,217
Sutton,196
